DATE,PCA1,PCA2
20010902,-3559.499720636297,3.4075441612277833
20010903,-3558.49974053814,5.377605189144042
20010904,-3557.500700506551,3.4064315236501055
20010905,-3556.500844126189,1.8737532720230532
20010906,-3555.500021263397,2.703019869154865
20010907,-3554.499956073705,2.867762977343989
20010908,-3553.501786617593,2.162668535930204
20010909,-3552.501231674114,0.9414587815407973
20010910,-3551.5010542784257,0.5389109294078631
20010911,-3550.4999493474716,1.543590676646904
20010912,-3549.5000465988032,1.9861072637343034
20010913,-3548.500414482716,2.384785606027335
20010914,-3547.5013525112026,1.051553636211087
20010915,-3546.5004888888143,1.0579210657325735
20010916,-3545.5015280200532,-0.5562976003809523
20010917,-3544.5009694530036,-1.2693810525711329
20010918,-3543.5000702069938,0.7923710421220029
20010919,-3542.5009141491337,-0.031247948509279144
20010920,-3541.5007615767336,0.7950701901222863
